product_id,product_reference,country_id,country,region_id,region,farm,producer_id,producer,variety_id,variety,process_id,process,cup_profile,cup_score,bag_size_kg,bags,bags_available,price_per_kg,harvest_date,status,rotation_number,marks,elevation
58,product_22,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,18,Yellow Bourbon,4,Washed + Thermal Shock,"Raspberry, marshmallow",87,35,15.00,0.00,14.50,August 2025,Sold Out,1125/29/13,J-03 - YELLOW BOURBON,
115,product_23,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,18,Yellow Bourbon,4,Washed + Thermal Shock,"Raspberry, marshmallow",87,24,15.00,0.00,14.75,December 2025,Sold Out,,,
11,product_24,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,1,Castillo,4,Washed + Thermal Shock,"Strawberry, caramel, vanilla",87,35,10.00,0.00,13.65,February 2025,Sold Out,725/30/4 - J-04,CASTILLO - 03/2928/00043,
59,product_25,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,1,Castillo,4,Washed + Thermal Shock,"Strawberry, caramel, vanilla",87,35,20.00,0.00,13.65,August 2025,Sold Out,1125/29/14,J-04 - CASTILLO,
107,product_26,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,1,Castillo,4,Washed + Thermal Shock,"Strawberry, caramel, vanilla",87,35,12.00,0.00,10.00,June 2024,Sold Out,1024/74/3,CASTILLO J-04Ê 3/2928/00024,
116,product_27,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,1,Castillo,4,Washed + Thermal Shock,"Strawberry, caramel, vanilla",87,24,0.00,0.00,14.25,December 2025,Sold Out,,,
13,product_28,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,19,Colombia,4,Washed + Thermal Shock,"Dried fruit, caramel",86+,35,10.00,0.00,13.65,February 2025,Sold Out,725/30/5 - J-06,COLOMBIA - 03/2928/00044,
14,product_29,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,21,Rosado,4,Washed + Thermal Shock,"Passion fruit, papaya",88,24,46.00,0.00,17.50,February 2025,Sold Out,725/30/6 - J-07,ROSADO - 03/2928/00045,
52,product_30,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,21,Rosado,4,Washed + Thermal Shock,"Passion fruit, papaya",88,24,19.00,0.00,17.50,February 2025,Sold Out,725/30/43 - J-07,ROSADO - 03/2928/00082,
57,product_31,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,21,Rosado,4,Washed + Thermal Shock,"Passion fruit, papaya",88,24,42.00,0.00,17.50,August 2025,Sold Out,1125/29/15,J-07 - ROSADO,
113,product_32,19,Colombia,8,Antioquia,El Jaragual,5,producer_4,21,Rosado,4,Washed + Thermal Shock,"Passion fruit, papaya",88,24,50.00,0.00,18.95,December 2025,Sold Out,,,
