product_id,product_reference,country_id,country,region_id,region,farm,producer_id,producer,variety_id,variety,process_id,process,cup_profile,cup_score,bag_size_kg,bags,bags_available,price_per_kg,harvest_date,status,rotation_number,marks,elevation
74,product_110,19,Colombia,10,Huila,Quebraditas,9,producer_6,2,Caturra,29,Lima-Lim—n Co-fermented,TBC,86+,24,4.00,4.00,17.50,August 2025,Available,1125/29/35,"QCOF-17 - LIMA-LIMON CO-FERMENTED	",1850masl
106,product_111,19,Colombia,10,Huila,Quebraditas,9,producer_6,3,Tabi,11,Co-fermented,TBC,86+,24,4.00,2.00,18.50,August 2025,Available,1125/29/36,"QCOF-18 - TABI ROSA CO-FERMENTED	",1850masl
54,product_112,19,Colombia,10,Huila,Quebraditas,9,producer_6,24,Laurina,12,Washed,TBC,TBC,11,1.00,0.00,55.00,December 2024,Sold Out,225/23/6,VARIETY LAURINA - 03/2928/00014,1850masl
53,product_113,19,Colombia,10,Huila,Quebraditas,9,producer_6,24,Laurina,12,Washed,TBC,TBC,24,1.00,0.00,55.00,December 2024,Sold Out,225/23/5,VARIETY LAURINA -  03/2928/00014,1850masl
41,product_114,19,Colombia,15,Huila,Quebraditas,9,producer_6,24,Laurina,4,Washed + Thermal Shock,"Citrus, mandarin, berries",TBC,12,1.00,0.00,65.00,April 2025,Sold Out,725/30/33,LAURINA - 03/2928/00072,1850masl
80,product_115,19,Colombia,15,Huila,Quebraditas,9,producer_6,24,Laurina,4,Washed + Thermal Shock,"Tropical fruits, mango, passion fruit",TBC,24,11.00,5.00,65.00,August 2025,Available,1125/29/37,QR-02 - LAURINA,1850masl
141,product_116,19,Colombia,15,Huila,Quebraditas,9,producer_6,24,Laurina,4,Washed + Thermal Shock,"Tropical fruits, mango, passion fruit",TBC,6,8.00,8.00,65.00,August 2025,Available,1125/29/37,QR-02 - LAURINA,1850masl
112,product_117,19,Colombia,15,Huila,Quebraditas,9,producer_6,24,Laurina,4,Washed + Thermal Shock,"Tropical fruits, mango, passion fruit",TBC,12,2.00,1.00,65.00,August 2025,Available,1125/29/37,QR-02 - LAURINA,1850masl
103,product_118,19,Colombia,15,Huila,Quebraditas,9,producer_6,7,Orange Bourbon,4,Washed + Thermal Shock,"Apricot, peach, nectarine",88,24,10.00,0.00,22.00,August 2025,Sold Out,1125/29/38,QU-01 - ORANGE BOURBON,1850masl
123,product_119,19,Colombia,15,Huila,Quebraditas,9,producer_6,7,Orange Bourbon,4,Washed + Thermal Shock,"Apricot, peach, nectarine",88,24,16.00,0.00,22.00,December 2025,Sold Out,,,1850masl
16,product_120,19,Colombia,15,Huila,Quebraditas,9,producer_6,7,Orange Bourbon,4,Washed + Thermal Shock,"Apricot, peach, nectarine",88,24,33.00,3.00,20.00,April 2025,Sold Out,725/30/8,ORANGE BOURBON - 03/2928/00047,1850masl
125,product_121,19,Colombia,10,Huila,Quebraditas,9,producer_6,12,SL-28,10,Advanced Natural,"Cranberry, plum, strawberry",89,24,0.00,0.00,30.00,December 2025,Sold Out,,,1850masl
142,product_122,19,Colombia,10,Huila,Quebraditas,9,producer_6,12,SL-28,10,Advanced Natural,"Cranberry, plum, strawberry",89,12,2.00,1.00,30.00,August 2025,Sold Out,1125/29/39,QU-02 - NATURAL SL-28,1850masl
55,product_123,19,Colombia,10,Huila,Quebraditas,9,producer_6,12,SL-28,10,Advanced Natural,"Cranberry, plum, strawberry",89,24,7.00,0.00,30.00,August 2025,Sold Out,1125/29/39,QU-02 - NATURAL SL-28,1850masl
19,product_124,19,Colombia,15,Huila,Quebraditas,9,producer_6,12,SL-28,10,Advanced Natural,"Crankberry, plum, strawberry",89,24,12.00,0.00,30.00,April 2025,Sold Out,725/30/11 - QC-03,NATURAL SL-28 - 03/2928/00050,1850masl
124,product_125,19,Colombia,10,Huila,Quebraditas,9,producer_6,12,SL-28,10,Advanced Natural,"Cranberry, plum, strawberry",89,24,2.00,2.00,30.00,August 2025,Sold Out,1125/29/39,QU-02 - NATURAL SL-28,1850masl
63,product_126,19,Colombia,10,Huila,Quebraditas,9,producer_6,13,Caturra Chiroso,10,Advanced Natural,"Blackberry, strawberry, caramel",89,24,10.00,0.00,32.00,August 2025,Sold Out,1125/29/40,QU-05 - CHIROSO NATURAL,1850masl
20,product_127,19,Colombia,15,Huila,Quebraditas,9,producer_6,13,Caturra Chiroso,10,Advanced Natural,"Blackberry, strawberry, caramel",89.25,24,12.00,0.00,32.00,April 2025,Sold Out,725/30/12 - QU-05,CHIROSO NATURAL - 03/2928/00051,1850masl
127,product_128,19,Colombia,10,Huila,Quebraditas,9,producer_6,13,Caturra Chiroso,10,Advanced Natural,"Blackberry, strawberry, caramel",89,24,8.00,0.00,32.00,December 2025,Sold Out,,,1850masl
21,product_129,19,Colombia,15,Huila,Quebraditas,9,producer_6,15,Ombligon,10,Advanced Natural,"Caribbean rum, pineapple, passionfruit",89,24,11.00,0.00,30.00,April 2025,Sold Out,725/30/13 - QU-06,OMBLIGON NATURAL - 03/2928/00052,1850masl
64,product_130,19,Colombia,10,Huila,Quebraditas,9,producer_6,15,Ombligon,10,Advanced Natural,"Caribbean rum, pineapple, passionfruit",89,24,10.00,3.00,30.00,August 2025,Available,1125/29/41,QU-06 - OMBLIGON NATURAL,1850masl
129,product_131,19,Colombia,10,Huila,Quebraditas,9,producer_6,22,Sidra,10,Advanced Natural,"Passion fruit, red fruits, boozy",88,24,7.00,0.00,30.00,December 2025,Sold Out,,,1850masl
70,product_132,19,Colombia,10,Huila,Quebraditas,9,producer_6,22,Sidra,10,Advanced Natural,"Passion fruit, red fruits, boozy",88,24,4.00,0.00,30.00,August 2025,Sold Out,1125/29/42,QU-07 - SIDRA NATURAL,1850masl
71,product_133,19,Colombia,10,Huila,Quebraditas,9,producer_6,23,Bourbon Aj’,10,Advanced Natural,"Fruity, red fruits, caramelised watermelon",88,24,8.00,0.00,32.00,August 2025,Sold Out,1125/29/43,QU-08 - BOURBON AJI NATURAL,1850masl
130,product_134,19,Colombia,10,Huila,Quebraditas,9,producer_6,23,Bourbon Aj’,10,Advanced Natural,"Fruity, red fruits, caramelised watermelon",88,24,8.00,0.00,32.00,December 2025,Incoming,,,1850masl
49,product_135,19,Colombia,10,Huila,Regional Huila,12,producer_7,26,Castillo-Caturra,12,Washed,"Hazelnut, caramel, panela, orange peel, apple",84.25,35,58.00,0.00,9.94,April 2025,Sold Out,725/30/34,REGIONAL HUILA OT - 03/2928/00073,
48,product_136,19,Colombia,10,Huila,Villa Esperanza ,11,producer_8,13,Caturra Chiroso,9,Anaerobic Natural,"Dried apricot, white chocolate, coconut milk",TBC,24,6.00,0.00,18.60,April 2025,Sold Out,725/30/35,CATURRA CHIROSO OT - 03/2928/00074,
